id,localid,name,description,value,quantity,powerdissipation,location,datasheet,unit,maxvoltage,elementtype
198,ACSL-6310-50TE,ACSL-6310-50TE,Transoptor,0.0,1,,-,,,-,transoptor
199,S1040L,S1040L,Dioda schottky,0.0,2,,-,,,-,diode
200,BZT52C2V0-7-F 2V,BZT52C2V0-7-F 2V,Dioda Zenera,0.0,12,,-,,,-,diode
201,ESDCAN01-2BLY,ESDCAN01-2BLY,Uklad scalony,0.0,100,,-,,,-,microcontroler
202,USB6B1,USB6B1,Uklad scalony,0.0,25,,-,,,-,microcontroler
203,MCP73871-2CCIML,MCP73871-2CCI/ML,Uklad scalony,0.0,10,,-,,,-,microcontroler
204,SMBJ26CA-TR,SMBJ26CA-TR,Transil,0.0,9,,-,,,-,diode
205,IS42S16400J-7TLI ISSI,IS42S16400J-7TLI ISSI RAM,Uklad scalony RAM,0.0,6,,-,,,-,microcontroler
206,REF3033AIDBZR,REF3033AIDBZR,Uklad scalony,0.0,5,,-,,,-,microcontroler
207,ACPL-217-50AE,ACPL-217-50AE,Transoptor,0.0,100,,-,,,-,transoptor
208,FT230XQ-R USB,FT230XQ-R USB,Uklad scalony,0.0,10,,-,,,-,microcontroler
209,SMAJ18A,SMAJ18A,Dioda,0.0,20,,-,,,-,diode
210,hi2512,"HI 2,5/12",,2.5,999,-,-,,mm,-,terminator
211,hi2075,"HI 2x0,75",,0.75,999,-,-,,mm,-,terminator
212,DPST250,Wlacznik 250V DPST,DPST,250.0,2,-,-,,V,-,switch
213,SPTT250,Wlacznik 250V SPTT,SPTT,250.0,3,-,-,,V,-,switch
214,SPST,Przycisk SPST,SPST,0.0,1,-,-,,,-,switch
215,dm425zz,Dystans M4 25mm,M4,25.0,40,-,-,,mm,-,
216,dm445zz,Dystans M4 45mm,M4,45.0,19,-,-,,mm,-,
217,dm450zz,Dystans M4 50mm,M4,50.0,15,-,-,,mm,-,
218,dm310mz,Dystans M3 10mm M-Z,M3,10.0,13,-,-,,mm,-,
219,dm320mz,Dystans M3 20mm M-Z,M3,20.0,26,-,-,,mm,-,
220,dm35zz,Dystans M3 5mm Z-Z,M3,5.0,13,-,-,,mm,-,
221,dm316mz,Dystans M3 16mm M-Z,M3,16.0,32,-,-,,mm,-,
222,dm314mz,Dystans M3 14mm M-Z,M3,14.0,6,-,-,,mm,-,
223,dm325zz,Dystans M3 25mm Z-Z,M3,25.0,10,-,-,,mm,-,
224,dm340mz,Dystans M3 40mm M-Z,M3,40.0,2,-,-,,mm,-,
225,dm330mz,Dystans M3 30mm M-Z,M3,30.0,4,-,-,,mm,-,
226,dm320zz,Dystans M3 20mm Z-Z,M3,20.0,30,-,-,,mm,-,
227,dm325mz,Dystans M3 25mm M-Z,M3,25.0,6,-,-,,mm,-,
228,wm36,Wkret M3 6mm,M3,6.0,23,-,-,,mm,-,screw
229,dm36mz,Dystans M3 6mm M-Z,M3,6.0,9,-,-,,mm,-,
230,dm312mz,Dystans M3 12mm M-Z,M3,12.0,10,-,-,,mm,-,
231,dm38,Dystans M3 8mm,M3,8.0,8,-,-,,mm,-,
232,koi25m5,"KOI 1,5-2,5 M5",M5,2.5,89,-,-,,mm,-,terminator
233,koi25m4,"KOI 1,5-2,5 M4",M4,2.5,63,-,-,,mm,-,terminator
234,koi256m6,"KOI 2,5-6 M6",M6,2.5,88,-,-,,mm,-,terminator
